poema_id,bertscore_openrnn_opus,bertscore_openrnn_ft,bertscore_marianmt_pt,bertscore_marianmt_ft,bertscore_mbart_pt,bertscore_mbart_ft,bertscore_google,bertscore_chatgpt_p1,bertscore_chatgpt_p2,bertscore_maritaca_p1,bertscore_maritaca_p2
67,0.5663332939147949,,0.7415313720703125,,0.7599948048591614,,0.768667459487915,0.7610204219818115,0.7653260231018066,0.7693881392478943,0.7614372372627258
68,0.5936581492424011,,0.769585132598877,,0.7666736245155334,,0.7837295532226562,0.7584092020988464,0.7721249461174011,0.7778459191322327,0.7833642363548279
69,0.5221563577651978,,0.8040595054626465,,0.785647988319397,,0.8432075381278992,0.8172226548194885,0.8338146209716797,0.7947537302970886,0.820521354675293
70,0.6097649931907654,,0.7968481183052063,,0.8370906114578247,,0.8386282920837402,0.8376208543777466,0.8356310725212097,0.8262898325920105,0.8249096274375916
71,0.6109355688095093,,0.8660780787467957,,0.8590971827507019,,0.8924611806869507,0.9036914110183716,0.8352303504943848,0.8697350025177002,0.8120846152305603
72,0.5629677176475525,,0.8099067211151123,,0.7897871732711792,,0.8364763855934143,0.8315771222114563,0.8296048641204834,0.8455064296722412,0.8425537943840027
73,0.547103226184845,,0.804531455039978,,0.77102130651474,,0.8158479332923889,0.7990081906318665,0.797699511051178,0.8112179636955261,0.814444363117218
74,0.5440429449081421,,0.8218173384666443,,0.7850237488746643,,0.8412001132965088,0.819978654384613,0.823544442653656,0.815765380859375,0.9140723943710328
75,0.5836651921272278,,0.8298996090888977,,0.8019745349884033,,0.8397514820098877,0.8469133377075195,0.8260353803634644,0.8417825102806091,0.8693763613700867
76,0.5613533854484558,,0.7827340364456177,,0.7706626057624817,,0.7918298840522766,0.7673227787017822,0.7823525071144104,0.8029152750968933,0.8024394512176514
77,0.5518779158592224,,0.7839983105659485,,0.7780731916427612,,0.81596440076828,0.8084283471107483,0.805672824382782,0.8112305402755737,0.9227935671806335
78,0.5653864741325378,,0.7791645526885986,,0.7587658762931824,,0.7920979261398315,0.7663218379020691,0.7730866074562073,0.7633468508720398,0.9268309473991394
79,0.5268366932868958,,0.7696049213409424,,0.7610049843788147,,0.8301462531089783,0.8297202587127686,0.820303738117218,0.8349116444587708,0.8320290446281433
80,0.5391932129859924,,0.8120396137237549,,0.781734049320221,,0.8593959808349609,0.8286913633346558,0.840748131275177,0.8297304511070251,0.8301796317100525
81,0.5417144894599915,,0.7551562190055847,,0.7573117017745972,,0.8135547041893005,0.8113048076629639,0.7666834592819214,0.7819566130638123,0.9613860249519348
82,0.5654405951499939,,0.8149241209030151,,0.8170740008354187,,0.8472148180007935,0.8236916661262512,0.8566422462463379,0.8502333164215088,0.8463310599327087
83,0.5893639922142029,,0.833599865436554,,0.8297713994979858,,0.8669921159744263,0.8537653684616089,0.8530637621879578,0.8614696264266968,0.8623083829879761
84,0.5705508589744568,,0.7928182482719421,,0.7746918797492981,,0.812373161315918,0.8122074007987976,0.8087741136550903,0.8194646835327148,0.9731830954551696
85,0.5659629702568054,,0.7776449918746948,,0.7621873021125793,,0.7779684066772461,0.788837194442749,0.7858307957649231,0.792984127998352,0.7895362377166748
86,0.5400803685188293,,0.7704756259918213,,0.7549934387207031,,0.8040302991867065,0.7999439835548401,0.8008853793144226,0.8032629489898682,0.7975087761878967
87,0.5645542144775391,,0.811764121055603,,0.7669789791107178,,0.8410326838493347,0.8149455189704895,0.812112033367157,0.8234645128250122,0.833580732345581
88,0.5403623580932617,,0.7877703905105591,,0.7317807674407959,,0.8199650645256042,0.7522937059402466,0.7585728168487549,0.7581480145454407,0.9583904147148132
89,0.6014925837516785,,0.796044111251831,,0.7741698622703552,,0.8288615942001343,0.8220359086990356,0.8202186226844788,0.8091500997543335,0.824232816696167
